Start	Slut	Navn på klip	Rating	Sidst ændret
05:15	05:23	Knækket kridt og av forhelvede	8	14/07/2020 15:53:19
08:40	08:50	Jamen bummelummelum	6	14/07/2020 15:57:20
10:28	10:39	Det ligner ad helvede til	5	14/07/2020 16:00:29
19:18	19:29	Jamen forfanden da	7	14/07/2020 16:10:13
24:05	24:15	En underlig fætter	6	14/07/2020 16:15:51
26:55	27:17	e, pi og vores ettal	5	14/07/2020 16:19:41
34:20	34:26	Knækket kridt	4	14/07/2020 16:27:05
35:27	35:37	Hvad med	6	14/07/2020 16:28:46
38:05	38:10	Arr, I må sgu da indrømme det er lidt sjovt	7	14/07/2020 16:31:56
38:27	38:55	Ødelægge en af jeres andre dage	6	14/07/2020 16:33:20
