n;lecture;link
1;Komplekse tal på Rektangulær Form - Part 1;https://video.dtu.dk/media/Komplekse+tal+p%C3%83%C2%A5+rektangul%C3%83%C2%A6r+form+-+Part1/0_mm44gsx9/218754
2;Komplekse tal på Rektangulær Form - Part 2;https://video.dtu.dk/media/Uge+13%2C+Store+DagA+Stokes%E2%80%99+s%C3%A6tning+og+potentialer+Part+2/0_snggc4qs/218754
