semester,skema,title,link,stream_link
E17/F18,Skema B,Ekstremumsundersøgelser Del 1,https://video.dtu.dk/media/Ekstremumsunders%C3%B8gelser+Del+1/0_6xvr5trs/185138,https://dchsou11xk84p.cloudfront.net/p/201/sp/20100/playManifest/entryId/0_6xvr5trs/format/url/protocol/https
E17/F18,Skema B,Ekstremumsundersøgelser Del 2,https://video.dtu.dk/media/Ekstremumsunders%C3%B8gelser+Del+2/0_va0glbam/185138,https://dchsou11xk84p.cloudfront.net/p/201/sp/20100/playManifest/entryId/0_va0glbam/format/url/protocol/https
E17/F18,Skema B,Riemannintegralet og dets brug på kurver Del 1,https://video.dtu.dk/media/Riemannintegralet+og+dets+brug+p%C3%A5+kurver+Del+1/0_vxc7f3bn/185138,https://dchsou11xk84p.cloudfront.net/p/201/sp/20100/playManifest/entryId/0_vxc7f3bn/format/url/protocol/https
E17/F18,Skema B,Riemannintegralet og dets brug på kurver Del 2,https://video.dtu.dk/media/Riemannintegralet+og+dets+brug+p%C3%A5+kurver+Del+2/0_v9uckq94/185138,https://dchsou11xk84p.cloudfront.net/p/201/sp/20100/playManifest/entryId/0_v9uckq94/format/url/protocol/https
E17/F18,Skema B,Integrationsteknik,https://video.dtu.dk/media/Integrationsteknik/0_ulsvxuxw/185138,https://dchsou11xk84p.cloudfront.net/p/201/sp/20100/playManifest/entryId/0_ulsvxuxw/format/url/protocol/https
E17/F18,Skema B,Planintegraler og Fladeintegraler Del 1 (Reupload),https://video.dtu.dk/media/Planintegraler+og+Fladeintegraler+Del+1+%28Reupload%29/0_65vjppl2/185138,https://dchsou11xk84p.cloudfront.net/p/201/sp/20100/playManifest/entryId/0_65vjppl2/format/url/protocol/https
E17/F18,Skema B,Planintegraler og Fladeintegraler Del 2,https://video.dtu.dk/media/Planintegraler+og+Fladeintegraler+Del+2/0_w4hgz8nt/185138,https://dchsou11xk84p.cloudfront.net/p/201/sp/20100/playManifest/entryId/0_w4hgz8nt/format/url/protocol/https
E17/F18,Skema B,Særlige flader i rummet,https://video.dtu.dk/media/S%C3%A6rlige+flader+i+rummet/0_msc7go5j/185138,https://dchsou11xk84p.cloudfront.net/p/201/sp/20100/playManifest/entryId/0_msc7go5j/format/url/protocol/https
E17/F18,Skema B,Rumlige områder og Rumintegraler Del 2,https://video.dtu.dk/media/Rumlige+omr%C3%A5der+og+Rumintegraler+Del+2/0_vwmwhbnk/185138,https://dchsou11xk84p.cloudfront.net/p/201/sp/20100/playManifest/entryId/0_vwmwhbnk/format/url/protocol/https
E17/F18,Skema B,Rumlige områder og Rumintegraler Del 1,https://video.dtu.dk/media/Rumlige+omr%C3%A5der+og+Rumintegraler+Del+1/0_a5xfv1bj/185138,https://dchsou11xk84p.cloudfront.net/p/201/sp/20100/playManifest/entryId/0_a5xfv1bj/format/url/protocol/https
E17/F18,Skema B,Vektorfelter del 2,https://video.dtu.dk/media/Vektorfelter+del+2/0_f4jwzl1g/185138,https://dchsou11xk84p.cloudfront.net/p/201/sp/20100/playManifest/entryId/0_f4jwzl1g/format/url/protocol/https
E17/F18,Skema B,Vektorfelter del 1,https://video.dtu.dk/media/Vektorfelter+del+1/0_gmomiux2/185138,https://dchsou11xk84p.cloudfront.net/p/201/sp/20100/playManifest/entryId/0_gmomiux2/format/url/protocol/https
E17/F18,Skema B,Mere om gradientvektorfelter,https://video.dtu.dk/media/Mere+om+gradientvektorfelter/0_gsmf4wm8/185138,https://dchsou11xk84p.cloudfront.net/p/201/sp/20100/playManifest/entryId/0_gsmf4wm8/format/url/protocol/https
E17/F18,Skema B,Flux og Gauss’ divergenssætning del 2,https://video.dtu.dk/media/Flux+og+Gauss%E2%80%99+divergenss%C3%A6tning+del+2/0_h9qlm9rr/185138,https://dchsou11xk84p.cloudfront.net/p/201/sp/20100/playManifest/entryId/0_h9qlm9rr/format/url/protocol/https
E17/F18,Skema B,Flux og Gauss’ divergenssætning del 1,https://video.dtu.dk/media/Flux+og+Gauss%E2%80%99+divergenss%C3%A6tning+del+1/0_w9qips9f/185138,https://dchsou11xk84p.cloudfront.net/p/201/sp/20100/playManifest/entryId/0_w9qips9f/format/url/protocol/https
E17/F18,Skema B,Mere om Gauss’ divergenssætning,https://video.dtu.dk/media/Mere+om+Gauss%E2%80%99+divergenss%C3%A6tning/0_lxth9w73/185138,https://dchsou11xk84p.cloudfront.net/p/201/sp/20100/playManifest/entryId/0_lxth9w73/format/url/protocol/https
E17/F18,Skema B,Stokes’ sætning,https://video.dtu.dk/media/Stokes%E2%80%99+s%C3%A6tning/0_dzl6vpsx/185138,https://dchsou11xk84p.cloudfront.net/p/201/sp/20100/playManifest/entryId/0_dzl6vpsx/format/url/protocol/https
E17/F18,Skema B,Gennemgang af eksamenssæt maj 2017 - opgave 2 og 3,https://video.dtu.dk/media/Gennemgang+af+eksamenss%C3%A6t+maj+2017+-+opgave+2+og+3/0_ujtnuno6/185138,https://dchsou11xk84p.cloudfront.net/p/201/sp/20100/playManifest/entryId/0_ujtnuno6/format/url/protocol/https
E17/F18,Skema B,Gennemgang af eksamenssæt maj 2017 - opgave 1,https://video.dtu.dk/media/Gennemgang+af+eksamenss%C3%A6t+maj+2017+-+opgave+1/0_cvqwiscu/185138,https://dchsou11xk84p.cloudfront.net/p/201/sp/20100/playManifest/entryId/0_cvqwiscu/format/url/protocol/https
E17/F18,Skema B,Gennemgang af eksamenssæt maj 2017 - opgave 4,https://video.dtu.dk/media/Gennemgang+af+eksamenss%C3%A6t+maj+2017+-+opgave+4/0_aopm3kr1/185138,https://dchsou11xk84p.cloudfront.net/p/201/sp/20100/playManifest/entryId/0_aopm3kr1/format/url/protocol/https
E18/F19,Skema B,"Uge 13, Store Dag: Stokes’ sætning og potentialer Part 2",https://video.dtu.dk/media/Uge+13%2C+Store+DagA+Stokes%E2%80%99+s%C3%A6tning+og+potentialer+Part+2/0_snggc4qs/218754,https://dchsou11xk84p.cloudfront.net/p/201/sp/20100/playManifest/entryId/0_snggc4qs/format/url/protocol/https
E18/F19,Skema B,"Uge 13, Store Dag: Stokes’ sætning og potentialer Part 1",https://video.dtu.dk/media/Uge+13%2C+Store+DagA+Stokes%E2%80%99+s%C3%A6tning+og+potentialer+Part+1/0_s7iu5v0m/218754,https://dchsou11xk84p.cloudfront.net/p/201/sp/20100/playManifest/entryId/0_s7iu5v0m/format/url/protocol/https
E18/F19,Skema B,"Uge 12, Lille dag: Repetition Del 2",https://video.dtu.dk/media/Uge+12%2C+Lille+dagA+Repetition+Del+2/0_afqcuyqe/218754,https://dchsou11xk84p.cloudfront.net/p/201/sp/20100/playManifest/entryId/0_afqcuyqe/format/url/protocol/https
E18/F19,Skema B,"Uge 12, Lille dag: Repetition Del 1",https://video.dtu.dk/media/Uge+12%2C+Lille+dagA+Repetition+Del+1/0_cskpvky9/218754,https://dchsou11xk84p.cloudfront.net/p/201/sp/20100/playManifest/entryId/0_cskpvky9/format/url/protocol/https
E18/F19,Skema B,"Uge 8, Store Dag: Flux og Gauss’ divergenssætning Part 2",https://video.dtu.dk/media/Uge+8%2C+Store+DagA+Flux+og+Gauss%E2%80%99+divergenss%C3%A6tning+Part+2/0_fyuz7avc/218754,https://dchsou11xk84p.cloudfront.net/p/201/sp/20100/playManifest/entryId/0_fyuz7avc/format/url/protocol/https
E18/F19,Skema B,"Uge 8, Store Dag: Flux og Gauss’ divergenssætning Part 1",https://video.dtu.dk/media/Uge+8%2C+Store+DagA+Flux+og+Gauss%E2%80%99+divergenss%C3%A6tning+Part+1/0_rq91jh5e/218754,https://dchsou11xk84p.cloudfront.net/p/201/sp/20100/playManifest/entryId/0_rq91jh5e/format/url/protocol/https
E18/F19,Skema B,"Uge 7, Lille Dag: Mere om gradientvektorfelter",https://video.dtu.dk/media/Uge+7%2C+Lille+DagA+Mere+om+gradientvektorfelter/0_29pyqdm4/218754,https://dchsou11xk84p.cloudfront.net/p/201/sp/20100/playManifest/entryId/0_29pyqdm4/format/url/protocol/https
E18/F19,Skema B,"Uge 7, Store Dag: Vektorfelter Part 2",https://video.dtu.dk/media/Uge+7%2C+Store+DagA+Vektorfelter+Part+2/0_h26cxkcg/218754,https://dchsou11xk84p.cloudfront.net/p/201/sp/20100/playManifest/entryId/0_h26cxkcg/format/url/protocol/https
E18/F19,Skema B,"Uge 7, Store Dag: Vektorfelter Part 1",https://video.dtu.dk/media/Uge+7%2C+Store+DagA+Vektorfelter+Part+1/0_khtjk7pt/218754,https://dchsou11xk84p.cloudfront.net/p/201/sp/20100/playManifest/entryId/0_khtjk7pt/format/url/protocol/https
E18/F19,Skema B,"Uge 6, Store Dag: Rumlige områder og Rumintegraler Part 2",https://video.dtu.dk/media/Uge+6%2C+Store+DagA+Rumlige+omr%C3%A5der+og+Rumintegraler+Part+2/0_01td9ke3/218754,https://dchsou11xk84p.cloudfront.net/p/201/sp/20100/playManifest/entryId/0_01td9ke3/format/url/protocol/https
E18/F19,Skema B,"Uge 6, Store Dag: Rumlige områder og Rumintegraler Part 1",https://video.dtu.dk/media/Uge+6%2C+Store+DagA+Rumlige+omr%C3%A5der+og+Rumintegraler+Part+1/0_luwkgf84/218754,https://dchsou11xk84p.cloudfront.net/p/201/sp/20100/playManifest/entryId/0_luwkgf84/format/url/protocol/https
E18/F19,Skema B,"Uge 5, Lille Dag: Særlige flader i rummet",https://video.dtu.dk/media/Uge+5%2C+Lille+DagA+S%C3%A6rlige+flader+i+rummet/0_me4sb5m4/218754,https://dchsou11xk84p.cloudfront.net/p/201/sp/20100/playManifest/entryId/0_me4sb5m4/format/url/protocol/https
E18/F19,Skema B,"Uge 4, Lille Dag: Integrationsteknik",https://video.dtu.dk/media/Uge+4%2C+Lille+DagA+Integrationsteknik/0_1ain8y8s/218754,https://dchsou11xk84p.cloudfront.net/p/201/sp/20100/playManifest/entryId/0_1ain8y8s/format/url/protocol/https
E18/F19,Skema B,Uge 4: Store Dag: Riemannintegralet og dets brug på kurver Part 2,https://video.dtu.dk/media/Uge+4A+Store+DagA+Riemannintegralet+og+dets+brug+p%C3%A5+kurver+Part+2/0_obscxwho/218754,https://dchsou11xk84p.cloudfront.net/p/201/sp/20100/playManifest/entryId/0_obscxwho/format/url/protocol/https
E18/F19,Skema B,Uge 4: Store Dag: Riemannintegralet og dets brug på kurver Part 1,https://video.dtu.dk/media/Uge+4A+Store+DagA+Riemannintegralet+og+dets+brug+p%C3%A5+kurver+Part+1/0_m0nfqq6o/218754,https://dchsou11xk84p.cloudfront.net/p/201/sp/20100/playManifest/entryId/0_m0nfqq6o/format/url/protocol/https
E18/F19,Skema B,"Uge 3, Store Dag: Ekstremumsundersøgelser Part 2",https://video.dtu.dk/media/Uge+3%2C+Store+DagA+Ekstremumsunders%C3%B8gelser+Part+2/0_0qy5lhqw/218754,https://dchsou11xk84p.cloudfront.net/p/201/sp/20100/playManifest/entryId/0_0qy5lhqw/format/url/protocol/https
E18/F19,Skema B,"Uge 3, Store Dag: Ekstremumsundersøgelser part 1",https://video.dtu.dk/media/Uge+3%2C+Store+DagA+Ekstremumsunders%C3%B8gelser+part+1/0_8jn08o8f/218754,https://dchsou11xk84p.cloudfront.net/p/201/sp/20100/playManifest/entryId/0_8jn08o8f/format/url/protocol/https
E18/F19,Skema B,"Uge 2, Store Dag: Taylors formler Part 2",https://video.dtu.dk/media/Uge+2%2C+Store+DagA+Taylors+formler+Part+2/0_dtowqqoh/218754,https://dchsou11xk84p.cloudfront.net/p/201/sp/20100/playManifest/entryId/0_dtowqqoh/format/url/protocol/https
E18/F19,Skema B,"Uge 2, Store Dag: Taylors formler Part 1",https://video.dtu.dk/media/Uge+2%2C+Store+DagA+Taylors+formler+Part+1/0_o612v5nk/218754,https://dchsou11xk84p.cloudfront.net/p/201/sp/20100/playManifest/entryId/0_o612v5nk/format/url/protocol/https
E18/F19,Skema B,Komplekse tal pÃ¥ rektangulÃ¦r form - Part1,https://video.dtu.dk/media/Komplekse+tal+p%C3%83%C2%A5+rektangul%C3%83%C2%A6r+form+-+Part1/0_mm44gsx9/218754,https://dchsou11xk84p.cloudfront.net/p/201/sp/20100/playManifest/entryId/0_mm44gsx9/format/url/protocol/https
E18/F19,Skema B,Komplekse tal pÃ¥ rektangulÃ¦r form - Part2,https://video.dtu.dk/media/Komplekse+tal+p%C3%83%C2%A5+rektangul%C3%83%C2%A6r+form+-+Part2/0_j2ci426w/218754,https://dchsou11xk84p.cloudfront.net/p/201/sp/20100/playManifest/entryId/0_j2ci426w/format/url/protocol/https
E18/F19,Skema B,Regning med reelle og komplekse tal,https://video.dtu.dk/media/Regning+med+reelle+og+komplekse+tal/0_phv8t50f/218754,https://dchsou11xk84p.cloudfront.net/p/201/sp/20100/playManifest/entryId/0_phv8t50f/format/url/protocol/https
E18/F19,Skema B,"Uge 2, Store Dag: PolÃ¦re koordinater og eksponentiel form - Part1",https://video.dtu.dk/media/Uge+2%2C+Store+DagA+Pol%C3%83%C2%A6re+koordinater+og+eksponentiel+form+-+Part1/0_o8n6cldu/218754,https://dchsou11xk84p.cloudfront.net/p/201/sp/20100/playManifest/entryId/0_o8n6cldu/format/url/protocol/https
E18/F19,Skema B,"Uge 2, Store Dag: PolÃ¦re koordinater og eksponentiel form - Part2",https://video.dtu.dk/media/Uge+2%2C+Store+DagA+Pol%C3%83%C2%A6re+koordinater+og+eksponentiel+form+-+Part2/0_ddxiz4zn/218754,https://dchsou11xk84p.cloudfront.net/p/201/sp/20100/playManifest/entryId/0_ddxiz4zn/format/url/protocol/https
E18/F19,Skema B,"Uge 2, Lille Dag: PolÃ¦re koordinater og eksponentialfunktionen",https://video.dtu.dk/media/Uge+2%2C+Lille+DagA+Pol%C3%83%C2%A6re+koordinater+og+eksponentialfunktionen/0_z7rjz126/218754,https://dchsou11xk84p.cloudfront.net/p/201/sp/20100/playManifest/entryId/0_z7rjz126/format/url/protocol/https
E18/F19,Skema B,"Uge 3, Store Dag: Polynomier - Part1",https://video.dtu.dk/media/Uge+3%2C+Store+DagA+Polynomier+-+Part1/0_sehxkjo1/218754,https://dchsou11xk84p.cloudfront.net/p/201/sp/20100/playManifest/entryId/0_sehxkjo1/format/url/protocol/https
E18/F19,Skema B,"Uge 3, Store Dag: Polynomier - Part2",https://video.dtu.dk/media/Uge+3%2C+Store+DagA+Polynomier+-+Part2/0_8chxoatv/218754,https://dchsou11xk84p.cloudfront.net/p/201/sp/20100/playManifest/entryId/0_8chxoatv/format/url/protocol/https
E18/F19,Skema B,"Uge 3, Lille Dag: Differentiabilitet",https://video.dtu.dk/media/Uge+3%2C+Lille+DagA+Differentiabilitet/0_ii4bbard/218754,https://dchsou11xk84p.cloudfront.net/p/201/sp/20100/playManifest/entryId/0_ii4bbard/format/url/protocol/https
E18/F19,Skema B,Taylors formler del 2,https://video.dtu.dk/media/Taylors+formler+del+2/0_k4psuxfj/218754,https://dchsou11xk84p.cloudfront.net/p/201/sp/20100/playManifest/entryId/0_k4psuxfj/format/url/protocol/https
E18/F19,Skema B,Taylors formler del 1,https://video.dtu.dk/media/Taylors+formler+del+1/0_ay0d3kk5/218754,https://dchsou11xk84p.cloudfront.net/p/201/sp/20100/playManifest/entryId/0_ay0d3kk5/format/url/protocol/https
E18/F19,Skema B,"Uge 5, Hold B: Lineære ligningssystemer Del 1",https://video.dtu.dk/media/Uge+5%2C+Hold+BA+Line%C3%A6re+ligningssystemer+Del+1/0_65hndm84/218754,https://dchsou11xk84p.cloudfront.net/p/201/sp/20100/playManifest/entryId/0_65hndm84/format/url/protocol/https
E18/F19,Skema B,"Uge 5, Hold B: Lineære ligningssystemer Del 2",https://video.dtu.dk/media/Uge+5%2C+Hold+BA+Line%C3%A6re+ligningssystemer+Del+2/0_iey5769m/218754,https://dchsou11xk84p.cloudfront.net/p/201/sp/20100/playManifest/entryId/0_iey5769m/format/url/protocol/https
E18/F19,Skema B,"Uge 5, Lille Dag: Matrixalgebra",https://video.dtu.dk/media/Uge+5%2C+Lille+DagA+Matrixalgebra/0_9az6ab1o/218754,https://dchsou11xk84p.cloudfront.net/p/201/sp/20100/playManifest/entryId/0_9az6ab1o/format/url/protocol/https
E18/F19,Skema B,Determinanter og vektor-geometri del 1,https://video.dtu.dk/media/Determinanter+og+vektor-geometri+del+1/0_i4t37mkl/218754,https://dchsou11xk84p.cloudfront.net/p/201/sp/20100/playManifest/entryId/0_i4t37mkl/format/url/protocol/https
