t1,t2,name,rating,semester,lecture
1902,1937,Maple i kamp mod røg og damp,9,F19_B,Flux og Gauss divergenssætning del 2
1937,1984,Divergensen redder jer,7,F19_B,Flux og Gauss divergenssætning del 2
2028,2064,Tag den Maple,8,F19_B,Flux og Gauss divergenssætning del 2
2621,2640,Dadaaaaaaa,9,F19_B,Flux og Gauss divergenssætning del 2
2681,2699,Sætte pris på Gauss' divergenssætning,6,F19_B,Flux og Gauss divergenssætning del 2
16,39,Færdig med projektarbejdet og retfærdighed i verden,7,F19_B,Repetition del 1
41,72,"Årsfest, eksamen og Gauss' divergenssætning",7,F19_B,Repetition del 1
111,140,Eksamenssæt med runer,6,F19_B,Repetition del 1
323,332,"Den skulle nok lige tegnes lidt pænere, så",7,F19_B,Repetition del 1
498,522,Når man griber sin fadøl,8,F19_B,Repetition del 1
745,764,Det gælder i vilkårlige dimensioner,6,F19_B,Repetition del 1
2080,2087,Hvordan parametriserer man en cirkel?,7,F19_B,Repetition del 1
93,108,"Alle ordene, som læreren godt kan lide",4,F19_B,Repetition del 2
467,502,Hold kæft en masse lort,5,F19_B,Repetition del 2
1739,1751,Ugens Tæsk,4,F19_B,Repetition del 2
11,88,Farvel og tak for i år,10,F19_B,Stokes sætning og potentialer del 1
