t1	t2	name	rating
01:00	01:10	En hos tandlægen	6
01:38	02:26	Strandet på Det Lokale Værtshus med Sinus til en halv	10
03:42	03:53	P4	5
07:48	07:51	Kæft hvor han kører	5
08:13	08:28	Ved vi noget om cosinus	4
09:33	09:43	Det har vi faktisk regnet ud	5
09:40	09:50	En fejl på en 4000tusindedel	4
12:10	12:20	På bagsiden af en serviet	6
12:29	12:38	En lommeregner	6
14:00	14:12	Lommeregneren kan ikke regne	4
14:40	14:55	Konklusion på sinus til en halv	9
15:58	16:18	Færdig arbejde	5
17:19	17:33	Nul over nul udtryk	5
20:01	20:07	Se det smart	4
21:18	21:26	Michael er dårlig til Maple	5
22:06	22:18	Plots	5
24:51	24:57	Det bliver bedre	4
26:24	26:41	Stjæl med arme og ben	5
26:45	27:05	Det havde taget 5 minutter	6
27:13	27:32	DTUs logo	6
