t1	t2	name	rating
15:30	15:45	Matrix inversion at Hogwarts	7
16:57	17:12	Lige før selv jeg vågnede	9
18:08	18:18	Meget originalt	5
18:59	19:10	FDB	8
19:45	19:55	Derfor I undrede jer	5
20:41	20:48	The Hogwarts trick	6
21:33	21:37	Ganget med bbbpp	6
23:10	23:19	Tænker med røven	4
