t1	t2	name	rating
00:37	00:45	Godmorgen - fredagsbøn	6
00:53	01:12	Bu og Bæ og Geogebra	5
22:25	22:46	Den en lidt fed info	6
23:15	23:40	Morgenbrændert fadøl matrix	9
24:41	25:02	Er der en bedre metode?	5
26:00	26:05	Det tager længere tid at skrive det op end at gøre det	4
35:10	35:16	Det var trick og julelege	5
37:45	37:52	Michael kan ikke skrive determinant	3
42:58	43:28	Skulle jeg sige mere?	5
