t1	t2	name	rating
00:53	01:20	Dsolve, og hvad Maple gør det på 30 sekunder	7
01:38	01:43	Lad os gå i krig	4
02:40	03:02	Trick og julelege og Maple	5
05:30	05:57	Kontinuerte funktioner	4
07:08	07:21	Glatte funktioner, aer dem og prinsessefingre	6
10:05	10:10	Er du med på den?	5
19:03	19:47	Et antal gode idéer og hvordan formler opstår	7
28:20	28:25	Nu har vi en løsningsformel	5
38:38	38:50	Fortrinsfejl	4
40:26	40:32	Ulækker højreside	5
