t1	t2	name	rating
16:26	17:34	Tænke sig om inden, morgenfadøl og cigarer	6
25:10	25:23	Er I med? 	4
31:22	31:42	Hvad gør man, når fanden er løs?	5
36:52	37:21	Prøv noget	6
