name,t1,t2,rating
Det er et meget stabilt system vi har her,11:48,13:20,8
"Noget, man kan gøre i en computer",30:28,31:01,7
Moster Gudruns parabelskål,32:42,33:12,6
En donut folkens,41:35,41:38,5
