tag,stream_title,link
F18BL09,Riemannintegralet og dets brug på kurver Del 1,https://video.dtu.dk/media/Riemannintegralet+og+dets+brug+p%C3%A5+kurver+Del+1/0_vxc7f3bn/185138
F18BL10,Riemannintegralet og dets brug på kurver Del 2,https://video.dtu.dk/media/Riemannintegralet+og+dets+brug+p%C3%A5+kurver+Del+2/0_v9uckq94/185138
F18BL11,Integrationsteknik,https://video.dtu.dk/media/Integrationsteknik/0_ulsvxuxw/185138
F18BL12,Planintegraler og Fladeintegraler Del 1 (Reupload),https://video.dtu.dk/media/Planintegraler+og+Fladeintegraler+Del+1+%28Reupload%29/0_65vjppl2/185138
F18BL13,Planintegraler og Fladeintegraler Del 2,https://video.dtu.dk/media/Planintegraler+og+Fladeintegraler+Del+2/0_w4hgz8nt/185138
F18BL14,Særlige flader i rummet,https://video.dtu.dk/media/S%C3%A6rlige+flader+i+rummet/0_msc7go5j/185138
F18BL15,Rumlige områder og Rumintegraler Del 1,https://video.dtu.dk/media/Rumlige+omr%C3%A5der+og+Rumintegraler+Del+1/0_a5xfv1bj/185138
F18BL16,Rumlige områder og Rumintegraler Del 2,https://video.dtu.dk/media/Rumlige+omr%C3%A5der+og+Rumintegraler+Del+2/0_vwmwhbnk/185138
F18BL17,Vektorfelter del 1,https://video.dtu.dk/media/Vektorfelter+del+1/0_gmomiux2/185138
F18BL18,Vektorfelter del 2,https://video.dtu.dk/media/Vektorfelter+del+2/0_f4jwzl1g/185138
F18BL19,Mere om gradientvektorfelter,https://video.dtu.dk/media/Mere+om+gradientvektorfelter/0_gsmf4wm8/185138
F18BL20,Flux og Gauss’ divergenssætning del 1,https://video.dtu.dk/media/Flux+og+Gauss%E2%80%99+divergenss%C3%A6tning+del+1/0_w9qips9f/185138
F18BL21,Flux og Gauss’ divergenssætning del 2,https://video.dtu.dk/media/Flux+og+Gauss%E2%80%99+divergenss%C3%A6tning+del+2/0_h9qlm9rr/185138
F18BL22,Mere om Gauss’ divergenssætning,https://video.dtu.dk/media/Mere+om+Gauss%E2%80%99+divergenss%C3%A6tning/0_lxth9w73/185138
F18BL23,Stokes’ sætning,https://video.dtu.dk/media/Stokes%E2%80%99+s%C3%A6tning/0_dzl6vpsx/185138
E18BL01,Komplekse tal paa rektangulaer form - Part1,https://video.dtu.dk/media/Komplekse+tal+p%C3%83%C2%A5+rektangul%C3%83%C2%A6r+form+-+Part1/0_mm44gsx9/218754
E18BL02,Komplekse tal paa rektangulaer form - Part2,https://video.dtu.dk/media/Komplekse+tal+p%C3%83%C2%A5+rektangul%C3%83%C2%A6r+form+-+Part2/0_j2ci426w/218754
E18BL03,Regning med reelle og komplekse tal,https://video.dtu.dk/media/Regning+med+reelle+og+komplekse+tal/0_phv8t50f/218754
E18BL04,Uge 2 Store Dag Polaere koordinater og eksponentiel form - Part1,https://video.dtu.dk/media/Uge+2%2C+Store+DagA+Pol%C3%83%C2%A6re+koordinater+og+eksponentiel+form+-+Part1/0_o8n6cldu/218754
E18BL05,Uge 2 Store Dag Polaere koordinater og eksponentiel form - Part2,https://video.dtu.dk/media/Uge+2%2C+Store+DagA+Pol%C3%83%C2%A6re+koordinater+og+eksponentiel+form+-+Part2/0_ddxiz4zn/218754
E18BL06,Uge 2 Lille Dag Polaere koordinater og eksponentialfunktionen,https://video.dtu.dk/media/Uge+2%2C+Lille+DagA+Pol%C3%83%C2%A6re+koordinater+og+eksponentialfunktionen/0_z7rjz126/218754
E18BL07,Uge 3 Store Dag Polynomier - Part1,https://video.dtu.dk/media/Uge+3%2C+Store+DagA+Polynomier+-+Part1/0_sehxkjo1/218754
E18BL08,Uge 3 Store Dag Polynomier - Part2,https://video.dtu.dk/media/Uge+3%2C+Store+DagA+Polynomier+-+Part2/0_8chxoatv/218754
E18BL09,Uge 3 Lille Dag Differentiabilitet,https://video.dtu.dk/media/Uge+3%2C+Lille+DagA+Differentiabilitet/0_ii4bbard/218754
E18BL10,Taylors formler del 1,https://video.dtu.dk/media/Taylors+formler+del+1/0_ay0d3kk5/218754
E18BL11,Taylors formler del 2,https://video.dtu.dk/media/Taylors+formler+del+2/0_k4psuxfj/218754
E18BL12,Uge 5 Hold B Lineære ligningssystemer Del 1,https://video.dtu.dk/media/Uge+5%2C+Hold+BA+Line%C3%A6re+ligningssystemer+Del+1/0_65hndm84/218754
E18BL14,Uge 5 Lille Dag Matrixalgebra,https://video.dtu.dk/media/Uge+5%2C+Lille+DagA+Matrixalgebra/0_9az6ab1o/218754
E18BL15,Determinanter og vektor-geometri del 1,https://video.dtu.dk/media/Determinanter+og+vektor-geometri+del+1/0_i4t37mkl/218754
E18BL16,Determinanter og vektor-geometri del 2,https://video.dtu.dk/media/Determinanter+og+vektor-geometri+del+2/0_i8239q3r/218754
E18BL17,Uge 6 Lille Dag Geometri i planen og rummet,https://video.dtu.dk/media/Uge+6%2C+Lille+DagA+Geometri+i+planen+og+rummet/0_o7plvss9/218754
E18BL18,Vektorrum Del 1,https://video.dtu.dk/media/Vektorrum+Del+1/0_pzaldtm2/218754
E18BL19,Vektorrum Del 2,https://video.dtu.dk/media/Vektorrum+Del+2/0_ap97d8sc/218754
