name	t1	t2	rating
Det der var ideen	12:32	12:55	5
I kan ikke holde ud at vente mere	16:20	16:32	5
En ualmindelig klam sag	36:13	36:59	6
En ualmindelig klam sag 2	37:11	38:13	6
