name	t1	t2	rating
Ja, så blev det tirsdag	00:00	00:06	6
Vi går lige på og knalder det ned	00:47	01:00	6
En grim kartoffel i rummet	02:32	03:02	4
Hele kartofflen	05:48	06:12	4
Flyttekassen og øller	09:19	10:03	5
Frugtskål fyldt med øl	31:18	31:38	4
Nu lokker I mig i fordærv	34:12	34:53	7
Lykken tilsmiler de snaldrede	35:19	35:48	7
Frugtskål fyldt med øl 2	38:05	38:19	5
Bare for at se om I sov	38:25	38:43	5
Sætter lige et lighedstegn	38:44	38:58	3
Hinandens spejlbilleder	44:28	45:16	4
