name;t1;t2;rating
Integration er faktisk svært;00:54;01:13;8
En ualmindelig klam sag 3;03:00;03:33;6
Man råber hjælp, moar;24:16;24:32;5
En skidegod idé;27:54;28:21;5
En rundtur i rædselskabinettet;30:44;30:55;4
Lidt åndsvag, for at synes det er sjovt;44:47;45:20;6
Vi er ikke blevet meget klogere af det;49:56;51:01;5
