name,t1,t2,rating
Folkevogn og blåhval,05:47,06:15,7
Stort socialt netværk,10:12,10:25,5
e^x og alle de dumme svin,17:39,17:47,6
Kunstpause,24:05,24:18,6
Nu skal vi bruge hjernen,35:40,35:46,7
Hvorfor det?,37:32,37:52,4
