name	t1	t2	rating
Tænke sig om inden, morgenfadøl og cigarer	16:26	17:34	6
Er I med? 	25:10	25:23	4
Hvad gør man, når fanden er løs?	31:22	31:42	5
Prøv noget	36:52	37:21	6
