name;t1;t2;rating
Matrix inversion at Hogwarts;15:30;15:45;7
Lige før selv jeg vågnede;16:57;17:12;9
Meget originalt;18:08;18:18;5
FDB;18:59;19:10;8
Derfor I undrede jer;19:45;19:55;5
The Hogwarts trick;20:41;20:48;6
Ganget med bbbpp;21:33;21:37;6
Tænker med røven;23:10;23:19;4
