name,t1,t2,rating
"Dsolve, og hvad Maple gør det på 30 sekunder",00:53,01:20,7
Lad os gå i krig,01:38,01:43,4
Trick og julelege og Maple,02:40,03:02,5
Kontinuerte funktioner,05:30,05:57,4
"Glatte funktioner, aer dem og prinsessefingre",07:08,07:21,6
Er du med på den?,10:05,10:10,5
Et antal gode idéer og hvordan formler opstår,19:03,19:47,7
Nu har vi en løsningsformel,28:20,28:25,5
Fortrinsfejl,38:38,38:50,4
Ulækker højreside,40:26,40:32,5
