semester,skema,title,link
E13/F14,Skema C,Værdimængde Del 1,https://video.dtu.dk/media/V%C3%A6rdim%C3%A6ngde+Del+1/0_df2dslrq/200597
E13/F14,Skema C,Værdimængde Del 2,https://video.dtu.dk/media/V%C3%A6rdim%C3%A6ngde+Del+2/0_g1dsxbs8/200597
E13/F14,Skema C,Symmetriske matricer Del 1,https://video.dtu.dk/media/Symmetriske+matricer+Del+1/0_sr0npicx/200597
E13/F14,Skema C,Symmetriske matricer Del 2,https://video.dtu.dk/media/Symmetriske+matricer+Del+2/0_ebssutn4/200597
E13/F14,Skema C,Keglesnit Del 1,https://video.dtu.dk/media/Keglesnit+Del+1/0_6r5xmjd9/200597
E13/F14,Skema C,Keglesnit Del 2,https://video.dtu.dk/media/Keglesnit+Del+2/0_rlemfh0z/200597
E13/F14,Skema C,Taylor 2 variable Del 1,https://video.dtu.dk/media/Taylor+2+variable+Del+1/0_badrun7d/200597
E13/F14,Skema C,Taylor 2 variable Del 2,https://video.dtu.dk/media/Taylor+2+variable+Del+2/0_ddkera68/200597
E13/F14,Skema C,Riemann integraler Del 1,https://video.dtu.dk/media/Riemann+integraler+Del+1/0_r7xjtw2h/200597
E13/F14,Skema C,Riemann integraler Del 2,https://video.dtu.dk/media/Riemann+integraler+Del+2/0_16awr589/200597
E13/F14,Skema C,Plan integraler Del 1,https://video.dtu.dk/media/Plan+integraler+Del+1/0_ktl49hb6/200597
E13/F14,Skema C,Plan integraler Del 2,https://video.dtu.dk/media/Plan+integraler+Del+2/0_9d9k687u/200597
E13/F14,Skema C,Flader/Fladeintegraler Del 1,https://video.dtu.dk/media/Flader+Fladeintegraler+Del+1/0_pq0hvy58/200597
E13/F14,Skema C,Flader/Fladeintegraler Del 2,https://video.dtu.dk/media/Flader+Fladeintegraler+Del+2/0_jlhjlvrc/200597
E13/F14,Skema C,Rum integraler Del 1,https://video.dtu.dk/media/Rum+integraler+Del+1/0_0mfxpta6/200597
E13/F14,Skema C,Rum integraler Del 2,https://video.dtu.dk/media/Rum+integraler+Del+2/0_01pcbp4o/200597
E13/F14,Skema C,Vektorfelter Del 1,https://video.dtu.dk/media/Vektorfelter+Del+1/0_9gpfaj2s/200597
E13/F14,Skema C,Vektorfelter Del 2,https://video.dtu.dk/media/Vektorfelter+Del+2/0_1b9ylyll/200597
E13/F14,Skema C,Tangentielt kurveintegral Del 1,https://video.dtu.dk/media/Tangentielt+kurveintegral+Del+1/0_89gthlrp/200597
E13/F14,Skema C,Tangentielt kurveintegral Del 2,https://video.dtu.dk/media/Tangentielt+kurveintegral+Del+2/0_yvvwc7hl/200597
E13/F14,Skema C,Flux Del 1,https://video.dtu.dk/media/Flux+Del+1/0_vys1kp90/200597
E13/F14,Skema C,Flux Del 2,https://video.dtu.dk/media/Flux+Del+2/0_8wqy4l3q/200597
E13/F14,Skema C,Gauss sætning Del 1,https://video.dtu.dk/media/Gauss+s%C3%A6tning+Del+1/0_9luirg09/200597
E13/F14,Skema C,Gauss sætning Del 2,https://video.dtu.dk/media/Gauss+s%C3%A6tning+Del+2/0_cvpsr0xw/200597
E13/F14,Skema C,Stokes/Potentialer Del 1,https://video.dtu.dk/media/Stokes+Potentialer+Del+1/0_efyt0ue2/200597
E13/F14,Skema C,Stokes/Potentialer Del 2,https://video.dtu.dk/media/Stokes+Potentialer+Del+2/0_ad04nanw/200597
E13/F14,Skema C,Stokes/Potentialer Del 1,https://video.dtu.dk/media/Stokes+Potentialer+Del+1/0_yn5qrc1i/200597
E13/F14,Skema C,Stokes/Potentialer Del 2,https://video.dtu.dk/media/Stokes+Potentialer+Del+2/0_83dsewjo/200597
E14/F15,Skema C,Komplekse tal på rektangulær form Del 1,https://video.dtu.dk/media/Komplekse+tal+p%C3%A5+rektangul%C3%A6r+form+Del+1/0_1i5b5665/200601
E14/F15,Skema C,Komplekse tal på rektangulær form Del 2,https://video.dtu.dk/media/Komplekse+tal+p%C3%A5+rektangul%C3%A6r+form+Del+2/0_rnfo3bck/200601
E14/F15,Skema C,Komplekse tal Del 1,https://video.dtu.dk/media/Komplekse+tal+Del+1/0_pdcktrl4/200601
E14/F15,Skema C,Komplekse Tal Del 2,https://video.dtu.dk/media/Komplekse+Tal+Del+2/0_1a3bysay/200601
E14/F15,Skema C,Komplekse tal Del 1,https://video.dtu.dk/media/Komplekse+tal+Del+1/0_m2g2ofvr/200601
E14/F15,Skema C,Komplekse tal Del 2,https://video.dtu.dk/media/Komplekse+tal+Del+2/0_0oig7u4r/200601
E14/F15,Skema C,Komplekse tal Del 1,https://video.dtu.dk/media/Komplekse+tal+Del+1/0_0j7b7rst/200601
E14/F15,Skema C,Komplekse tal Del 2,https://video.dtu.dk/media/Komplekse+tal+Del+2/0_cx1tq6yt/200601
E14/F15,Skema C,Komplekse tal Del 1,https://video.dtu.dk/media/Komplekse+tal+Del+1/0_lmfvg9xp/200601
E14/F15,Skema C,Komplekse tal Del 2,https://video.dtu.dk/media/Komplekse+tal+Del+2/0_orr5ks8b/200601
E14/F15,Skema C,Komplekse tal Del 1,https://video.dtu.dk/media/Komplekse+tal+Del+1/0_twkps3dd/200601
E14/F15,Skema C,Komplekse tal Del 2,https://video.dtu.dk/media/Komplekse+tal+Del+2/0_nxwxdb4e/200601
E14/F15,Skema C,Integralregning Del1,https://video.dtu.dk/media/Integralregning+Del1/0_v310w8at/200601
E14/F15,Skema C,Integralregning Del2,https://video.dtu.dk/media/Integralregning+Del2/0_5ou7q9u4/200601
E14/F15,Skema C,Lineære ligninger Del 1,https://video.dtu.dk/media/Line%C3%A6re+ligninger+Del+1/0_njzyaqva/200601
